Model probability	Spectral learning probability
2.013804e-80	3.156439e-10	[4, 7, 5, 5, 6, 6, 7, 4, 0, 3, 2, 3, 1, 5, 1, 4, 0, 2, 4, 2, 4, 2, 6, 3, 7, 7, 6, 4, 4, 0, 6, 6, 6, 3, 7, 6, 0, 6, 1, 2, 7, 0, 7, 2, 1, 0, 0, 1, 7, 6, 7, 2, 5, 7, 2, 2, 2, 6, 2, 7, 0, 7, 7, 7, 2, 6, 2, 3, 7, 3, 7, 0, 0, 2, 0, 0, 4, 5, 5, 3, 3, 1, 7, 6, 3, 3, 0, 4, 6, 1]
1.546502e-73	-3.062423e-11	[5, 4, 1, 2, 7, 3, 7, 0, 0, 6, 3, 2, 1, 6, 6, 0, 5, 6, 1, 2, 5, 7, 1, 1, 0, 1, 6, 2, 7, 7, 6, 2, 6, 4, 6, 4, 6, 6, 5, 3, 6, 3, 2, 2, 1, 7, 0, 1, 2, 4, 7, 3, 6, 6, 0, 2, 1, 5, 2, 6, 1, 6, 5, 6, 4, 6, 7, 3, 6, 6, 7, 0, 7, 1, 2, 4, 2, 0, 2, 0, 2, 5]
1.006767e-13	3.499591e-05	[3, 7, 6, 2, 1, 3, 3, 7, 5, 6, 0, 6, 0, 6, 7]
7.009270e-15	-5.464688e-08	[0, 0, 7, 4, 0, 1, 7, 6, 4, 6, 3, 4, 1, 0, 2, 2]
2.800970e-45	1.616629e-09	[3, 0, 4, 6, 5, 5, 7, 6, 1, 3, 2, 3, 2, 0, 0, 5, 2, 7, 6, 3, 1, 1, 7, 7, 3, 0, 7, 3, 0, 3, 7, 4, 6, 1, 2, 3, 7, 4, 1, 1, 0, 1, 2, 0, 6, 6, 5, 2, 2]
8.961487e-46	-4.067521e-09	[0, 3, 5, 3, 0, 6, 6, 3, 4, 5, 1, 6, 0, 6, 2, 5, 3, 0, 6, 0, 4, 3, 6, 0, 4, 3, 6, 6, 1, 7, 6, 2, 2, 6, 6, 3, 2, 6, 1, 7, 5, 0, 3, 7, 0, 7, 2, 3, 2, 4, 0]
8.458981e-85	-1.993423e-14	[0, 5, 0, 2, 5, 3, 4, 7, 0, 6, 6, 0, 0, 3, 1, 1, 5, 6, 2, 4, 4, 0, 7, 1, 3, 2, 4, 1, 5, 2, 4, 0, 4, 6, 2, 4, 4, 6, 6, 1, 7, 6, 1, 1, 6, 7, 4, 2, 6, 2, 3, 7, 7, 1, 2, 7, 5, 1, 6, 7, 2, 4, 0, 7, 6, 0, 2, 6, 3, 4, 2, 7, 2, 0, 2, 7, 0, 2, 2, 7, 6, 7, 6, 6, 2, 6, 6, 2, 6, 2, 7, 7, 0, 7, 5, 7]
2.579436e-57	2.807833e-11	[3, 4, 0, 7, 7, 7, 2, 3, 7, 0, 0, 0, 7, 4, 0, 3, 1, 1, 4, 3, 3, 0, 6, 2, 6, 0, 6, 4, 6, 0, 7, 5, 1, 5, 1, 3, 3, 6, 0, 7, 3, 6, 2, 5, 1, 1, 6, 7, 1, 7, 3, 4, 3, 0, 6, 0, 4, 3, 0, 4, 6, 7, 7]
3.643794e-74	-6.689664e-10	[7, 6, 2, 0, 1, 1, 6, 3, 3, 1, 7, 1, 3, 3, 1, 5, 6, 5, 3, 1, 1, 1, 3, 1, 3, 4, 1, 7, 2, 4, 6, 6, 5, 4, 0, 0, 7, 6, 1, 0, 4, 3, 4, 3, 3, 0, 0, 4, 1, 6, 6, 0, 5, 6, 6, 6, 7, 3, 5, 7, 2, 6, 4, 1, 0, 7, 7, 5, 5, 6, 7, 1, 5, 2, 0, 6, 5, 6, 3, 7]
1.664841e-72	-8.043768e-15	[0, 0, 4, 0, 4, 3, 5, 0, 3, 7, 6, 0, 4, 7, 2, 4, 7, 7, 4, 2, 0, 7, 1, 7, 0, 4, 3, 2, 0, 6, 3, 4, 7, 2, 0, 7, 7, 3, 2, 4, 6, 4, 5, 0, 4, 1, 6, 6, 6, 2, 0, 6, 3, 7, 5, 2, 5, 6, 3, 0, 7, 7, 2, 0, 7, 3, 0, 1, 5, 4, 0, 0, 2, 3, 6, 0, 5, 0, 2, 0, 0]
1.146553e-57	-2.281337e-12	[3, 0, 7, 6, 0, 6, 3, 7, 3, 4, 1, 0, 3, 2, 3, 2, 0, 2, 7, 6, 3, 3, 4, 4, 4, 4, 7, 2, 5, 2, 0, 6, 5, 5, 0, 0, 1, 6, 6, 6, 6, 0, 6, 1, 0, 7, 1, 6, 6, 7, 7, 6, 1, 6, 7, 6, 1, 5, 5, 4, 6, 4, 3, 1]
5.030299e-36	-4.932581e-12	[3, 0, 3, 7, 6, 4, 7, 2, 7, 5, 4, 2, 0, 4, 0, 6, 6, 4, 7, 5, 3, 4, 6, 4, 0, 0, 6, 2, 1, 0, 7, 6, 6, 2, 7, 1, 2, 7, 7, 3]
2.257015e-49	1.356733e-09	[4, 6, 0, 7, 2, 6, 5, 5, 1, 3, 2, 1, 7, 0, 2, 0, 0, 7, 3, 1, 1, 2, 4, 7, 0, 4, 6, 0, 2, 6, 3, 1, 7, 1, 6, 0, 2, 2, 2, 2, 0, 2, 0, 6, 3, 4, 5, 2, 1, 2, 3, 3, 2, 3]
5.192071e-86	1.014980e-11	[2, 7, 0, 2, 0, 1, 6, 3, 2, 7, 6, 4, 4, 2, 2, 2, 0, 0, 2, 5, 4, 7, 1, 1, 6, 0, 7, 6, 0, 7, 5, 2, 0, 6, 7, 0, 0, 0, 0, 2, 7, 6, 0, 1, 6, 2, 5, 0, 2, 7, 1, 5, 3, 1, 7, 7, 0, 3, 0, 2, 1, 7, 2, 2, 3, 2, 0, 7, 6, 6, 5, 0, 2, 6, 7, 2, 6, 3, 2, 7, 3, 6, 2, 6, 7, 3, 1, 7, 7, 0, 2, 5, 7, 6, 4, 0, 3, 0]
1.259670e-85	1.854042e-13	[3, 6, 5, 6, 2, 2, 0, 1, 4, 3, 6, 2, 6, 0, 4, 7, 7, 0, 6, 2, 4, 0, 6, 3, 6, 0, 0, 1, 4, 3, 0, 4, 6, 2, 0, 0, 3, 5, 1, 2, 2, 6, 2, 0, 7, 0, 7, 1, 6, 6, 5, 0, 7, 6, 0, 3, 3, 6, 7, 3, 5, 4, 5, 0, 6, 2, 5, 7, 7, 0, 0, 7, 6, 6, 2, 6, 2, 5, 2, 3, 1, 1, 4, 6, 7, 1, 3, 6, 2, 0, 6, 2, 3, 5, 5, 3]
1.510115e-52	-2.617690e-08	[7, 0, 1, 2, 5, 0, 1, 0, 4, 0, 1, 7, 4, 4, 5, 1, 2, 5, 1, 2, 2, 1, 6, 0, 1, 1, 7, 6, 6, 0, 7, 1, 6, 7, 0, 6, 5, 3, 6, 6, 0, 2, 6, 3, 6, 0, 6, 1, 2, 1, 3, 5, 1, 0, 6, 7, 0, 1]
2.478418e-08	-5.413736e-05	[0, 3, 6, 6, 7, 0, 6, 2, 5]
