The value of m used in spectral learning algorithm: 2
Model probability	Spectral learning probability
5.367736e-145	5.468329e-145	[23, 3, 1, 18, 11, 23, 19, 20, 7, 24, 15, 4, 9, 29, 5, 10, 10, 16, 4, 20, 10, 18, 7, 27, 8, 3, 26, 8, 23, 29, 25, 3, 0, 8, 11, 5, 25, 13, 13, 4, 25, 11, 18, 22, 0, 22, 12, 9, 10, 22, 20, 3, 4, 15, 2, 10, 15, 20, 11, 4, 21, 0, 25, 6, 3, 8, 7, 22, 4, 10, 19, 26, 16, 6, 12, 6, 16, 11, 12, 27, 25, 25, 3, 12, 20, 0, 13, 10, 29, 24, 21, 26, 17, 8, 25, 6, 2, 26]
7.624830e-147	7.998348e-147	[14, 16, 7, 2, 27, 12, 12, 12, 3, 10, 17, 2, 9, 8, 27, 18, 12, 16, 3, 11, 8, 0, 11, 23, 1, 5, 18, 29, 17, 24, 15, 26, 27, 18, 0, 27, 10, 13, 24, 21, 26, 18, 20, 27, 19, 0, 2, 19, 17, 8, 18, 1, 8, 1, 28, 18, 7, 28, 1, 16, 28, 2, 12, 17, 21, 11, 6, 20, 8, 13, 18, 6, 5, 1, 15, 6, 26, 26, 7, 27, 24, 7, 17, 0, 5, 3, 21, 26, 5, 0, 18, 21, 0, 24, 15, 16, 10, 15, 3]
1.452593e-31	1.377843e-31	[11, 3, 23, 18, 29, 6, 16, 6, 18, 10, 29, 7, 23, 25, 8, 17, 6, 25, 7, 26, 2]
5.071309e-52	5.041490e-52	[15, 7, 10, 28, 12, 29, 26, 19, 15, 8, 10, 15, 8, 17, 24, 8, 15, 24, 5, 10, 26, 21, 27, 21, 20, 27, 3, 22, 22, 26, 1, 6, 10, 23, 25]
1.028586e-69	1.109644e-69	[7, 10, 19, 15, 4, 20, 20, 8, 20, 0, 0, 18, 14, 22, 18, 19, 3, 1, 11, 4, 26, 25, 4, 0, 3, 27, 11, 5, 3, 5, 12, 20, 17, 2, 25, 10, 22, 28, 24, 23, 8, 23, 0, 14, 9, 14, 11]
1.575446e-67	1.562368e-67	[20, 7, 10, 3, 19, 10, 10, 27, 28, 2, 19, 23, 18, 20, 6, 27, 13, 24, 4, 11, 28, 0, 11, 6, 21, 29, 20, 24, 6, 17, 19, 11, 20, 7, 27, 16, 29, 5, 8, 21, 12, 2, 19, 11, 12]
1.142689e-18	1.085704e-18	[18, 17, 13, 11, 3, 14, 23, 16, 21, 11, 16, 28]
1.611172e-95	1.426790e-95	[21, 16, 15, 11, 15, 28, 22, 3, 11, 4, 25, 1, 21, 3, 9, 13, 9, 28, 3, 14, 8, 2, 10, 27, 3, 19, 7, 5, 24, 28, 15, 9, 1, 8, 0, 21, 21, 14, 6, 6, 22, 12, 18, 20, 12, 29, 11, 22, 3, 27, 4, 12, 19, 4, 4, 9, 25, 12, 18, 11, 25, 4, 9, 6]
7.226691e-44	6.908147e-44	[25, 28, 6, 2, 25, 25, 29, 28, 10, 17, 25, 17, 12, 3, 13, 27, 23, 28, 9, 23, 24, 24, 10, 1, 19, 0, 5, 6, 28]
5.796531e-64	5.020838e-64	[4, 22, 5, 8, 11, 20, 16, 29, 3, 10, 25, 8, 7, 11, 4, 25, 22, 3, 3, 16, 15, 29, 6, 27, 25, 4, 23, 11, 6, 5, 29, 9, 15, 27, 11, 14, 27, 19, 5, 0, 23, 13, 23]
6.301621e-91	6.557421e-91	[3, 0, 14, 12, 5, 7, 3, 25, 23, 25, 25, 15, 23, 21, 0, 19, 2, 1, 29, 29, 13, 14, 0, 25, 4, 6, 1, 19, 24, 3, 25, 12, 28, 7, 25, 21, 8, 19, 3, 10, 16, 6, 17, 26, 13, 26, 18, 1, 17, 24, 20, 7, 11, 5, 19, 17, 3, 29, 5, 12, 0]
7.406524e-23	7.783050e-23	[23, 15, 10, 27, 3, 29, 6, 3, 23, 7, 2, 9, 19, 23, 22]
5.109348e-113	4.483492e-113	[16, 19, 10, 22, 1, 15, 23, 3, 8, 13, 11, 11, 19, 13, 17, 27, 22, 20, 6, 27, 26, 14, 2, 2, 10, 5, 26, 2, 8, 24, 9, 20, 1, 23, 0, 0, 24, 2, 2, 28, 15, 5, 13, 4, 23, 11, 14, 10, 5, 9, 18, 24, 4, 23, 17, 6, 25, 1, 4, 19, 20, 25, 27, 14, 22, 15, 7, 7, 15, 28, 3, 28, 14, 15, 12, 3]
1.251293e-21	1.310697e-21	[25, 25, 27, 8, 14, 22, 20, 19, 23, 11, 5, 7, 7, 22]
4.288061e-36	4.256642e-36	[28, 24, 17, 29, 10, 1, 13, 23, 26, 26, 0, 6, 24, 12, 4, 14, 6, 25, 1, 5, 26, 9, 14, 11]
3.239187e-88	3.320140e-88	[1, 14, 17, 0, 5, 25, 29, 4, 6, 11, 20, 22, 7, 22, 14, 12, 26, 25, 28, 5, 21, 11, 19, 10, 26, 12, 3, 8, 21, 10, 1, 12, 25, 12, 17, 22, 7, 18, 18, 19, 10, 2, 5, 21, 12, 25, 3, 28, 29, 18, 3, 18, 26, 6, 9, 13, 20, 0, 9]
1.311192e-115	1.285044e-115	[24, 0, 16, 28, 28, 8, 19, 24, 6, 12, 9, 0, 21, 26, 20, 16, 19, 1, 0, 20, 27, 22, 13, 3, 6, 23, 17, 9, 12, 18, 24, 5, 3, 14, 18, 28, 9, 10, 14, 3, 11, 7, 20, 18, 11, 12, 26, 3, 5, 17, 25, 18, 29, 23, 11, 5, 28, 1, 4, 20, 18, 0, 17, 5, 5, 8, 1, 11, 20, 14, 14, 15, 19, 29, 18, 23, 13, 6]
1.034752e-55	1.042667e-55	[10, 22, 21, 7, 21, 14, 21, 28, 27, 10, 17, 24, 4, 6, 2, 13, 16, 4, 2, 4, 27, 3, 24, 24, 2, 12, 0, 9, 19, 0, 10, 1, 7, 7, 4, 20, 7]
2.343530e-05	2.325970e-05	[1, 19, 9]
5.339024e-05	5.283112e-05	[24, 10, 8]
