The value of m used in spectral learning algorithm: 10
Model probability	Spectral learning probability
5.367736e-145	5.466345e-123	[23, 3, 1, 18, 11, 23, 19, 20, 7, 24, 15, 4, 9, 29, 5, 10, 10, 16, 4, 20, 10, 18, 7, 27, 8, 3, 26, 8, 23, 29, 25, 3, 0, 8, 11, 5, 25, 13, 13, 4, 25, 11, 18, 22, 0, 22, 12, 9, 10, 22, 20, 3, 4, 15, 2, 10, 15, 20, 11, 4, 21, 0, 25, 6, 3, 8, 7, 22, 4, 10, 19, 26, 16, 6, 12, 6, 16, 11, 12, 27, 25, 25, 3, 12, 20, 0, 13, 10, 29, 24, 21, 26, 17, 8, 25, 6, 2, 26]
7.624830e-147	-1.564664e-126	[14, 16, 7, 2, 27, 12, 12, 12, 3, 10, 17, 2, 9, 8, 27, 18, 12, 16, 3, 11, 8, 0, 11, 23, 1, 5, 18, 29, 17, 24, 15, 26, 27, 18, 0, 27, 10, 13, 24, 21, 26, 18, 20, 27, 19, 0, 2, 19, 17, 8, 18, 1, 8, 1, 28, 18, 7, 28, 1, 16, 28, 2, 12, 17, 21, 11, 6, 20, 8, 13, 18, 6, 5, 1, 15, 6, 26, 26, 7, 27, 24, 7, 17, 0, 5, 3, 21, 26, 5, 0, 18, 21, 0, 24, 15, 16, 10, 15, 3]
1.452593e-31	-6.049953e-29	[11, 3, 23, 18, 29, 6, 16, 6, 18, 10, 29, 7, 23, 25, 8, 17, 6, 25, 7, 26, 2]
5.071309e-52	1.254876e-45	[15, 7, 10, 28, 12, 29, 26, 19, 15, 8, 10, 15, 8, 17, 24, 8, 15, 24, 5, 10, 26, 21, 27, 21, 20, 27, 3, 22, 22, 26, 1, 6, 10, 23, 25]
1.028586e-69	2.704218e-61	[7, 10, 19, 15, 4, 20, 20, 8, 20, 0, 0, 18, 14, 22, 18, 19, 3, 1, 11, 4, 26, 25, 4, 0, 3, 27, 11, 5, 3, 5, 12, 20, 17, 2, 25, 10, 22, 28, 24, 23, 8, 23, 0, 14, 9, 14, 11]
1.575446e-67	-1.254442e-58	[20, 7, 10, 3, 19, 10, 10, 27, 28, 2, 19, 23, 18, 20, 6, 27, 13, 24, 4, 11, 28, 0, 11, 6, 21, 29, 20, 24, 6, 17, 19, 11, 20, 7, 27, 16, 29, 5, 8, 21, 12, 2, 19, 11, 12]
1.142689e-18	-2.858709e-18	[18, 17, 13, 11, 3, 14, 23, 16, 21, 11, 16, 28]
1.611172e-95	4.179554e-84	[21, 16, 15, 11, 15, 28, 22, 3, 11, 4, 25, 1, 21, 3, 9, 13, 9, 28, 3, 14, 8, 2, 10, 27, 3, 19, 7, 5, 24, 28, 15, 9, 1, 8, 0, 21, 21, 14, 6, 6, 22, 12, 18, 20, 12, 29, 11, 22, 3, 27, 4, 12, 19, 4, 4, 9, 25, 12, 18, 11, 25, 4, 9, 6]
7.226691e-44	3.104903e-39	[25, 28, 6, 2, 25, 25, 29, 28, 10, 17, 25, 17, 12, 3, 13, 27, 23, 28, 9, 23, 24, 24, 10, 1, 19, 0, 5, 6, 28]
5.796531e-64	-5.281174e-56	[4, 22, 5, 8, 11, 20, 16, 29, 3, 10, 25, 8, 7, 11, 4, 25, 22, 3, 3, 16, 15, 29, 6, 27, 25, 4, 23, 11, 6, 5, 29, 9, 15, 27, 11, 14, 27, 19, 5, 0, 23, 13, 23]
6.301621e-91	1.283485e-79	[3, 0, 14, 12, 5, 7, 3, 25, 23, 25, 25, 15, 23, 21, 0, 19, 2, 1, 29, 29, 13, 14, 0, 25, 4, 6, 1, 19, 24, 3, 25, 12, 28, 7, 25, 21, 8, 19, 3, 10, 16, 6, 17, 26, 13, 26, 18, 1, 17, 24, 20, 7, 11, 5, 19, 17, 3, 29, 5, 12, 0]
7.406524e-23	2.042439e-21	[23, 15, 10, 27, 3, 29, 6, 3, 23, 7, 2, 9, 19, 23, 22]
5.109348e-113	-3.870658e-98	[16, 19, 10, 22, 1, 15, 23, 3, 8, 13, 11, 11, 19, 13, 17, 27, 22, 20, 6, 27, 26, 14, 2, 2, 10, 5, 26, 2, 8, 24, 9, 20, 1, 23, 0, 0, 24, 2, 2, 28, 15, 5, 13, 4, 23, 11, 14, 10, 5, 9, 18, 24, 4, 23, 17, 6, 25, 1, 4, 19, 20, 25, 27, 14, 22, 15, 7, 7, 15, 28, 3, 28, 14, 15, 12, 3]
1.251293e-21	5.481822e-21	[25, 25, 27, 8, 14, 22, 20, 19, 23, 11, 5, 7, 7, 22]
4.288061e-36	-6.287040e-33	[28, 24, 17, 29, 10, 1, 13, 23, 26, 26, 0, 6, 24, 12, 4, 14, 6, 25, 1, 5, 26, 9, 14, 11]
3.239187e-88	5.463140e-77	[1, 14, 17, 0, 5, 25, 29, 4, 6, 11, 20, 22, 7, 22, 14, 12, 26, 25, 28, 5, 21, 11, 19, 10, 26, 12, 3, 8, 21, 10, 1, 12, 25, 12, 17, 22, 7, 18, 18, 19, 10, 2, 5, 21, 12, 25, 3, 28, 29, 18, 3, 18, 26, 6, 9, 13, 20, 0, 9]
1.311192e-115	-1.808916e-98	[24, 0, 16, 28, 28, 8, 19, 24, 6, 12, 9, 0, 21, 26, 20, 16, 19, 1, 0, 20, 27, 22, 13, 3, 6, 23, 17, 9, 12, 18, 24, 5, 3, 14, 18, 28, 9, 10, 14, 3, 11, 7, 20, 18, 11, 12, 26, 3, 5, 17, 25, 18, 29, 23, 11, 5, 28, 1, 4, 20, 18, 0, 17, 5, 5, 8, 1, 11, 20, 14, 14, 15, 19, 29, 18, 23, 13, 6]
1.034752e-55	1.462768e-48	[10, 22, 21, 7, 21, 14, 21, 28, 27, 10, 17, 24, 4, 6, 2, 13, 16, 4, 2, 4, 27, 3, 24, 24, 2, 12, 0, 9, 19, 0, 10, 1, 7, 7, 4, 20, 7]
2.343530e-05	2.369612e-05	[1, 19, 9]
5.339024e-05	5.314082e-05	[24, 10, 8]
7.646103e-65	9.540268e-57	[5, 7, 6, 12, 17, 1, 24, 29, 14, 12, 5, 25, 15, 29, 5, 14, 27, 7, 23, 14, 24, 4, 2, 5, 0, 21, 11, 14, 11, 25, 23, 5, 24, 4, 20, 6, 13, 5, 26, 29, 23, 16, 12, 20]
4.074786e-101	3.395585e-89	[4, 18, 4, 11, 1, 1, 17, 16, 19, 25, 18, 11, 16, 19, 4, 23, 19, 7, 4, 15, 24, 8, 0, 19, 20, 0, 15, 2, 12, 1, 20, 0, 26, 26, 18, 5, 8, 24, 15, 26, 16, 25, 28, 15, 17, 16, 2, 3, 18, 2, 9, 20, 10, 23, 6, 4, 19, 16, 26, 14, 26, 12, 20, 12, 7, 22, 19, 7]
1.185407e-133	1.866678e-114	[17, 9, 23, 10, 6, 0, 14, 3, 21, 20, 0, 6, 14, 28, 11, 20, 21, 21, 0, 21, 26, 8, 9, 18, 13, 24, 1, 25, 20, 17, 13, 20, 0, 15, 23, 5, 20, 21, 19, 7, 18, 25, 9, 4, 17, 11, 12, 28, 22, 8, 15, 27, 11, 0, 5, 25, 2, 27, 0, 25, 15, 21, 24, 19, 12, 25, 2, 1, 23, 28, 11, 5, 2, 2, 8, 5, 2, 5, 9, 4, 26, 21, 5, 14, 20, 23, 17, 24, 23, 19]
5.668371e-55	1.112583e-48	[12, 18, 20, 15, 13, 10, 26, 8, 13, 18, 16, 0, 22, 2, 24, 11, 26, 18, 12, 10, 27, 4, 11, 24, 15, 7, 13, 12, 7, 25, 4, 12, 23, 8, 4, 20, 23]
5.620646e-139	5.016199e-121	[19, 19, 18, 26, 2, 17, 5, 10, 18, 16, 4, 22, 4, 18, 8, 3, 2, 24, 5, 22, 9, 16, 19, 18, 16, 7, 29, 16, 29, 10, 9, 15, 14, 3, 15, 12, 6, 16, 20, 7, 9, 9, 28, 13, 20, 14, 15, 24, 10, 23, 6, 10, 7, 4, 6, 18, 18, 13, 20, 17, 12, 10, 1, 13, 4, 11, 3, 25, 13, 20, 1, 16, 15, 1, 13, 25, 4, 18, 3, 25, 2, 11, 17, 19, 14, 7, 11, 16, 28, 9, 17, 13, 22]
2.114124e-50	-5.150240e-45	[2, 8, 17, 21, 3, 28, 27, 15, 11, 18, 10, 1, 12, 7, 15, 27, 15, 26, 14, 17, 19, 21, 11, 15, 6, 20, 24, 3, 10, 19, 15, 4, 14, 15]
7.633245e-76	-2.057916e-66	[18, 26, 24, 4, 7, 20, 20, 20, 0, 12, 15, 23, 20, 22, 11, 29, 9, 11, 17, 3, 6, 25, 12, 8, 22, 16, 5, 1, 24, 7, 9, 12, 17, 19, 6, 15, 29, 20, 22, 0, 20, 4, 21, 3, 1, 16, 6, 19, 26, 5, 2]
5.781494e-42	-1.353456e-37	[29, 19, 18, 16, 17, 28, 3, 7, 15, 8, 21, 10, 11, 15, 10, 23, 6, 9, 24, 25, 15, 5, 13, 21, 21, 28, 26, 14]
1.228690e-137	-9.002009e-120	[13, 4, 7, 5, 10, 4, 25, 28, 9, 21, 13, 10, 21, 1, 5, 18, 1, 15, 3, 3, 17, 13, 15, 4, 8, 24, 23, 0, 14, 24, 11, 8, 10, 23, 4, 16, 25, 27, 29, 7, 17, 1, 2, 11, 24, 15, 21, 1, 5, 12, 4, 14, 0, 18, 8, 28, 15, 16, 25, 3, 19, 27, 21, 17, 13, 20, 12, 26, 28, 16, 24, 8, 0, 3, 25, 4, 5, 8, 6, 20, 21, 1, 8, 10, 23, 10, 27, 18, 18, 23, 21, 17, 14]
2.517114e-37	1.051095e-34	[17, 29, 18, 4, 15, 8, 7, 12, 19, 12, 21, 7, 15, 2, 11, 16, 27, 23, 29, 29, 24, 1, 18, 14, 25]
6.131694e-92	-1.072412e-80	[21, 18, 23, 14, 3, 4, 7, 5, 21, 3, 20, 22, 20, 26, 10, 10, 9, 14, 26, 11, 15, 7, 24, 16, 8, 10, 29, 7, 7, 24, 15, 2, 19, 3, 16, 18, 24, 0, 4, 0, 12, 0, 18, 13, 20, 28, 27, 22, 23, 0, 4, 1, 28, 18, 2, 19, 25, 14, 18, 10, 6, 1]
